Entity,Code,Year,Sugar cane
India,IND,1970,135024000
India,IND,1971,126368000
India,IND,1972,113569500
India,IND,1973,124866700
India,IND,1974,140805010
India,IND,1975,144288900
India,IND,1976,140603500
India,IND,1977,153007000
India,IND,1978,176965010
India,IND,1979,151655100
India,IND,1980,128833410
India,IND,1981,154248000
India,IND,1982,186357600
India,IND,1983,189505600
India,IND,1984,174076000
India,IND,1985,170319200
India,IND,1986,171681000
India,IND,1987,186089500
India,IND,1988,196736900
India,IND,1989,203036800
India,IND,1990,225569200
India,IND,1991,241045500
India,IND,1992,254000000
India,IND,1993,228030000
India,IND,1994,229670000
India,IND,1995,275540000
India,IND,1996,281100000
India,IND,1997,277560000
India,IND,1998,279541500
India,IND,1999,310332800
India,IND,2000,299323900
India,IND,2001,295956000
India,IND,2002,297207800
India,IND,2003,287383200
India,IND,2004,233861800
India,IND,2005,237088400
India,IND,2006,281171800
India,IND,2007,355519700
India,IND,2008,348187900
India,IND,2009,285029300
India,IND,2010,292301600
India,IND,2011,342382000
India,IND,2012,361037000
India,IND,2013,341200000
India,IND,2014,352142000
India,IND,2015,362333000
India,IND,2016,348448000
India,IND,2017,306069000
India,IND,2018,379904860
India,IND,2019,405416200
India,IND,2020,370500300
India,IND,2021,405398720
India,IND,2022,439424900
